"","18S"," 16S"," CO1"," COI"," COX1"," ITS2"," ITS1"," trnl"," 12S"
"Crassostrea ariakensis","11","42","2","96","9","9","46","0","56"
"Lasmigona subviridis","0","1","0","0","4","0","2","0","1"
"Ostrea","49","345","1","203","57","19","49","0","21"
"Pisidium amnicum","8","7","0","12","3","0","0","0","0"
"Pisidium henslowanum","4","13","0","1","1","0","0","0","0"
"Pisidium","69","449","0","142","24","0","0","0","0"
"Pisidium supinum","6","19","0","1","0","0","0","0","0"
"Sphaerium corneum","9","55","0","1","0","0","8","0","0"
"Tapes","6","10","0","24","0","6","6","0","0"
"Tridacna","79","675","147","2172","143","8","10","1","10"
"Venerupis","10","2","0","2","1","6","1","0","0"
"Littorina littorea","4","6","0","741","1","0","0","0","3"
"Littorina saxatilis","1","3","0","101","2","0","0","0","4"
"Rapana venosa","1","16","14","86","3","0","2","0","4"
"Batillaria attramentaria","0","10","0","17","2","0","0","0","2"
"Boonea","1","1","0","6","0","0","0","0","0"
"Busycotypus canaliculatus","1","0","0","2","0","0","0","0","0"
"Ocinebrellus inornatus","0","72","0","5","2","0","0","0","81"
"Myosotella myosotis","3","4","0","1","3","0","0","0","3"
"Potamothrix bavaricus","3","7","0","59","0","5","2","0","1"
"Bithynia tentaculata","3","3","0","15","10","0","5","0","1"
"Cipangopaludina chinensis","5","83","0","82","3","0","0","0","2"
"Cipangopaludina japonica","4","42","1","43","2","0","0","0","1"
"Crepidula","2","60","0","217","33","0","0","0","1"
"Elimia virginica","0","2","0","5","0","0","0","0","0"
"Gillia altilis","0","1","0","0","0","0","0","0","0"
"Hermissenda crassicornis","18","16","0","42","0","0","0","0","0"
"Nassarius","40","509","0","875","41","0","13","0","164"
"Philine auriformis","0","4","0","0","0","0","0","0","0"
"Physella acuta","8","86","47","175","11","2","17","0","3"
"Pomacea canaliculata","49","71","1","971","4","0","0","0","19"
"Radix auricularia","4","3","6","201","24","90","8","0","2"
"Tarebia granifera","0","106","0","6","96","0","0","0","1"
"Valvata piscinalis","2","2","0","1","2","0","0","0","1"
"Viviparus","7","10","0","29","5","0","0","0","3"
"Cuthona","16","21","0","44","0","0","0","0","0"
"Cumanotus","0","0","0","2","0","0","0","0","0"
"Dendronotus frondosus","2","32","0","50","1","0","0","0","0"
"Eubranchus","4","41","0","58","11","0","0","0","0"
"Eubranchus rupium","0","10","0","16","0","0","0","0","0"
"Glossodoris","4","49","0","35","1","0","0","0","7"
"Okenia","1","8","0","51","0","1","1","0","0"
"Anguillicola crassus","59","0","467","60","0","0","0","0","0"
"Sporobolus alterniflorus","12","2","0","0","1","16","15","73","1"
"Sporobolus anglicus","3","0","0","0","0","0","0","5","0"
"Sporobolus densiflorus","4","0","0","0","0","5","5","36","0"
"Sporobolus","298","10","0","0","1","187","161","560","1"
"Zizania latifolia","2","3","0","0","0","5","5","10","0"
"Zostera japonica","0","0","0","0","0","5","8","0","0"
"Undaria pinnatifida","4","7","0","4","42","30","25","4","0"
"Achillea ptarmica","0","0","0","0","0","4","3","2","0"
"Aegopodium podagraria","0","0","0","0","0","6","3","5","0"
"Agrostis gigantea","12","2","0","0","0","7","6","5","0"
"Agrostis stolonifera","38","2","0","0","0","43","43","10","0"
"Alliaria petiolata","0","2","0","0","0","22","16","13","0"
"Allium schoenoprasum","3","0","0","0","0","19","17","21","0"
"Alnus glutinosa","48","9","0","0","0","25","21","2","0"
"Alopecurus carolinianus","0","0","0","0","0","1","0","0","0"
"Alopecurus geniculatus","1","0","0","0","0","0","0","2","0"
"Alopecurus pratensis","1","0","0","0","0","2","1","5","0"
"Alternanthera philoxeroides","6","3","0","0","0","6","6","4","0"
"Amaranthus blitoides","3","0","0","0","0","8","5","2","0"
"Ambrosia psilostachya","0","0","0","0","0","3","0","3","0"
"Ammophila arenaria","9","0","0","0","0","6","6","6","0"
"Andropogon virginicus","0","1","0","0","0","2","0","0","0"
"Anthriscus caucalis","0","0","0","0","0","0","0","10","0"
"Arenaria serpyllifolia","2","0","0","0","0","7","4","4","0"
"Armoracia rusticana","0","0","0","0","0","4","1","3","0"
"Artemisia biennis","1","0","0","0","0","6","4","0","0"
"Arundo donax","1","4","0","0","0","12","6","104","0"
"Atriplex patula","1","0","0","0","0","6","3","4","0"
"Barbarea orthoceras","1","0","0","0","0","3","1","1","0"
"Barbarea vulgaris","1","0","0","0","0","8","6","5","0"
"Batis maritima","3","0","0","0","2","0","0","0","0"
"Betula pendula","5","5","0","0","0","21","21","6","0"
"Bidens tripartita","2","0","0","0","0","7","6","5","0"
"Boehmeria cylindrica","0","0","0","0","0","2","0","0","0"
"Brachiaria","5","4","0","0","0","11","11","14","0"
"Butomus umbellatus","5","4","0","0","3","2","2","3","0"
"Cabomba caroliniana","5","5","0","0","0","6","2","20","0"
"Callitriche stagnalis","2","0","0","0","0","3","2","43","0"
"Campsis radicans","1","0","0","0","0","13","1","3","0"
"Cannabis sativa","41","16","0","0","7","24","7","95","0"
"Capsella bursa-pastoris","8","3","0","0","1","40","29","27","0"
"Carex acutiformis","2","1","0","0","0","5","5","5","0"
"Carex bushii","0","0","0","0","0","1","1","0","0"
"Carex crawei","0","0","0","0","0","1","1","0","0"
"Carex disticha","0","0","0","0","0","1","1","1","0"
"Carex flacca","1","1","0","0","0","4","2","4","0"
"Carex ovalis","1","0","0","0","0","5","4","2","0"
"Carpobrotus chilensis","0","0","0","0","0","0","0","0","0"
"Chelidonium majus","3","3","0","0","0","14","6","9","0"
"Chenopodium album","30","3","0","0","0","87","72","100","0"
"Chenopodium","50","17","0","0","2","289","244","371","4"
"Cirsium palustre","18","0","0","0","0","22","21","14","0"
"Clintonia borealis","1","0","0","0","1","0","0","0","0"
"Commelina communis","1","1","0","0","0","5","1","3","0"
"Conium maculatum","3","0","0","0","0","94","91","0","0"
"Crataegus douglasii","0","0","0","0","0","149","1","9","0"
"Cynosurus cristatus","2","2","0","0","0","5","5","7","0"
"Delairea odorata","2","0","0","0","0","2","1","1","0"
"Dioscorea oppositifolia","3","1","0","0","0","4","1","2","0"
"Dryopteris","3","9","0","0","1","4","3","594","0"
"Echinochloa crus-galli","9","8","0","0","0","83","91","115","0"
"Echinochloa muricata","0","0","0","0","0","1","0","1","0"
"Ellisia nyctelea","1","0","0","0","0","1","0","0","0"
"Epilobium hirsutum","0","0","0","0","0","1","0","1","0"
"Epilobium parviflorum","0","0","0","0","0","3","0","0","0"
"Festuca rubra","10","3","0","0","0","10","4","24","0"
"Frangula alnus","3","0","0","2","1","2","0","8","0"
"Gleditsia triacanthos","13","0","0","0","1","1","0","3","0"
"Glyceria maxima","2","0","0","0","0","3","3","2","0"
"Gnaphalium uliginosum","0","0","0","0","0","6","4","3","0"
"Gypsophila paniculata","1","2","0","0","0","2","1","3","0"
"Halymenia durvillei","0","0","0","1","0","0","0","0","0"
"Hedera helix","6","1","0","0","0","14","13","74","0"
"Helenium flexuosum","0","0","0","0","0","16","13","0","0"
"Helianthus annuus","76","34","9","0","2","15","11","11","2"
"Hordeum jubatum","1","2","0","0","0","20","18","6","0"
"Hydrocharis morsus-ranae","0","0","0","0","1","2","1","1","0"
"Hydrocotyle umbellata","0","0","0","0","0","1","0","0","0"
"Hygrophila polysperma","0","0","0","0","0","0","0","0","0"
"Impatiens capensis","4","0","0","0","0","6","2","2","0"
"Impatiens glandulifera","18","3","0","0","0","20","19","46","0"
"Imperata cylindrica","11","3","0","0","0","33","18","254","0"
"Ipomoea hederacea","3","3","0","0","0","16","16","4","0"
"Iris pseudacorus","2","0","0","0","0","11","3","15","0"
"Juncus articulatus","0","0","0","0","0","1","1","2","0"
"Juncus compressus","0","0","0","0","0","1","0","2","0"
"Juncus gerardii","0","0","0","0","0","1","0","3","0"
"Juncus inflexus","0","0","0","0","0","1","0","1","0"
"Lactuca serriola","6","0","0","1","2","34","29","15","0"
"Lepidium densiflorum","1","0","0","0","0","2","0","1","0"
"Leucojum aestivum","0","1","0","0","0","4","2","2","0"
"Liatris pycnostachya","0","0","0","0","0","1","1","0","0"
"Ligustrum vulgare","2","2","0","0","0","5","4","8","0"
"Lomentaria hakodatensis","0","0","0","12","0","0","0","0","0"
"Lotus corniculatus","6","3","0","0","0","21","10","25","0"
"Lupinus polyphyllus","2","0","0","0","0","42","30","10","0"
"Lycopus asper","0","0","0","0","0","2","0","2","0"
"Lycopus europaeus","0","0","0","0","0","7","0","2","0"
"Lysimachia nummularia","0","0","0","0","0","4","3","6","0"
"Lysimachia vulgaris","0","0","0","0","0","7","2","6","0"
"Lythrum salicaria","3","2","0","0","0","10","10","3","0"
"Macfadyena","0","0","0","0","0","0","0","0","0"
"Marrubium vulgare","0","0","0","0","0","0","0","8","0"
"Marsilea quadrifolia","1","0","0","0","0","1","1","4","0"
"Medicago lupulina","5","3","0","0","0","29","19","11","0"
"Mentha aquatica","6","0","0","0","0","17","16","19","0"
"Mentha spicata","3","2","0","0","0","26","19","39","0"
"Mentha x gracilis","0","0","0","0","0","1","1","1","0"
"Mentha x piperita","1","3","0","0","0","44","39","25","0"
"Microstegium vimineum","3","0","0","0","0","3","3","148","0"
"Mollugo verticillata","12","4","0","0","0","13","11","2","0"
"Morus alba","30","4","0","0","0","100","52","137","0"
"Muhlenbergia racemosa","0","0","0","0","0","4","1","1","0"
"Myosotis arvensis","1","0","0","0","0","1","1","3","0"
"Myosotis scorpioides","0","0","0","0","0","1","0","2","0"
"Myosoton aquaticum","3","0","0","0","0","3","1","3","0"
"Najas marina","293","0","0","0","0","27","26","102","0"
"Najas minor","125","0","0","0","0","124","125","2","0"
"Nasturtium officinale","2","3","0","0","0","14","10","10","0"
"Nepeta cataria","3","2","0","0","0","5","1","5","0"
"Oenothera pilosella","0","0","0","0","0","2","1","1","0"
"Ornithogalum umbellatum","0","0","0","0","0","1","1","2","0"
"Panicum repens","2","0","0","0","0","12","11","4","0"
"Parthenocissus quinquefolia","0","0","0","0","0","0","0","26","0"
"Phalaris arundinacea","2","2","0","0","0","21","20","18","0"
"Phragmites australis","2","6","0","0","0","11","7","227","0"
"Picea pungens","0","0","0","0","0","1","0","7","0"
"Plantago lanceolata","11","0","0","3","2","40","6","18","0"
"Plantago major","10","0","0","2","1","49","4","8","0"
"Plantago rugelii","10","1","0","2","1","2","1","3","0"
"Pluchea odorata","1","0","0","0","0","2","2","0","0"
"Poa annua","11","2","0","2","0","31","29","42","0"
"Poa bulbosa","5","0","0","0","0","8","7","13","0"
"Poa pratensis","7","1","0","0","0","37","26","50","0"
"Poa trivialis","2","2","0","0","0","10","8","12","0"
"Polygonum","39","0","0","4","0","219","190","82","0"
"Polygonum aviculare","6","0","0","4","0","32","20","9","0"
"Polygonum cuspidatum","1","0","0","0","0","1","1","7","0"
"Polygonum ramosissimum","0","0","0","0","0","3","3","1","0"
"Populus deltoides","9","7","1","3","0","2","5","9","0"
"Portulaca oleracea","23","5","0","0","0","38","20","14","0"
"Potamogeton crispus","28","0","0","0","1","14","9","9","0"
"Potentilla norvegica","1","0","0","0","0","10","2","5","0"
"Prosopis pallida","1","0","0","0","0","1","1","0","0"
"Prunella vulgaris","1","2","0","0","0","48","20","11","0"
"Puccinellia distans","1","2","0","0","0","5","3","8","0"
"Ranunculus acris","2","0","0","0","0","7","2","41","0"
"Ranunculus bulbosus","0","0","0","0","0","5","1","2","0"
"Ranunculus flammula","0","1","0","0","0","3","0","1","0"
"Ranunculus repens","0","2","0","0","0","2","1","5","0"
"Rhamnus cathartica","4","0","0","3","0","4","2","4","0"
"Rhizophora mangle","0","1","0","0","0","6","6","3","0"
"Rhynchospora nitens","0","0","0","0","0","0","0","0","0"
"Rorippa sylvestris","0","0","0","0","0","5","1","35","0"
"Rumex acetosella","1","0","0","0","0","6","2","4","0"
"Rumex crispus","4","2","0","0","0","10","4","7","0"
"Rumex longifolius","1","0","0","0","0","1","0","0","0"
"Rumex obtusifolius","0","0","0","0","0","2","2","2","0"
"Sagina procumbens","3","0","0","0","0","8","4","1","0"
"Salix alba","3","1","0","0","0","6","9","0","0"
"Salix exigua","4","0","0","2","0","3","1","0","0"
"Salix fragilis","1","0","0","0","0","3","13","3","0"
"Salix purpurea","2","2","0","0","2","4","3","1","0"
"Salix x pendulina","0","0","0","2","0","0","0","0","0"
"Salix","121","40","0","38","8","405","175","105","0"
"Salsola","25","1","0","1","0","99","83","10","0"
"Salvinia minima","1","0","0","0","0","1","1","2","0"
"Sapium","0","0","0","0","0","0","0","7","0"
"Solanum dulcamara","4","2","0","3","0","1","1","4","0"
"Solidago sempervirens","2","0","0","0","0","5","4","1","0"
"Sonchus arvensis","0","1","0","0","0","17","8","2","0"
"Sonchus arvensis subsp. uliginosus","0","0","0","0","0","0","0","1","0"
"Sonchus asper","1","3","0","3","0","19","20","4","0"
"Sorghum halepense","5","1","0","0","0","10","9","17","0"
"Sparganium androcladum","1","0","0","0","0","1","0","1","0"
"Sparganium emersum","4","0","0","0","0","1","0","5","0"
"Sparganium glomeratum","6","0","0","0","0","0","0","5","0"
"Spirodela polyrhiza","3","3","0","0","2","2","1","13","0"
"Stachys palustris","0","0","0","0","0","2","0","5","0"
"Tamarix","55","5","0","1","0","214","180","175","0"
"Tradescantia pallida","0","1","0","0","0","0","0","3","0"
"Trapa natans","0","2","0","0","0","15","14","22","0"
"Trifolium hybridum","2","1","0","0","0","9","3","1","0"
"Trillium erectum","2","0","0","0","0","3","2","4","0"
"Typha angustifolia","5","2","0","2","0","11","0","44","0"
"Typha latifolia","2","2","0","2","0","0","0","47","0"
"Ulmus americana","5","3","0","0","0","5","5","15","0"
"Veronica beccabunga","7","0","0","0","0","3","3","2","0"
"Veronica serpyllifolia","2","0","0","0","0","3","2","1","0"
"Viburnum opulus var. americanum","0","0","0","0","0","4","4","2","0"
"Viola blanda","0","0","0","0","0","6","1","3","0"
"Viola blanda var. palustriformis","0","0","0","0","0","1","1","0","0"
"Wisteria frutescens","3","0","0","0","0","6","5","1","0"
"Xanthium strumarium","11","0","0","0","0","26","13","4","0"
"Bothriocephalus","39","10","0","1","52","10","29","0","0"
"Dactylogyrus amphibothrium","1","0","0","0","0","0","1","0","0"
"Dactylogyrus hemiamphibothrium","1","0","0","0","0","0","1","0","0"
"Dugesia","38","3","0","451","323","1","147","5","3"
"Ichthyocotylurus pileatus","5","0","1","10","0","2","1","0","0"
"Neascus","3","0","0","3","0","0","0","0","0"
"Scolex pleuronectis","0","0","0","0","0","0","0","0","0"
"Timoniella","0","0","0","0","0","0","0","0","0"
"Trochammina hadai","7","0","0","0","0","0","0","0","0"
"Acineta","2","0","0","0","0","1","1","2","0"
"Corythionella","0","0","0","0","0","0","0","0","0"
"Psammonobiotus communis","0","0","0","0","0","0","0","0","0"
"Psammonobiotus dziwnowi","0","0","0","0","0","0","0","0","0"
"Psammonobiotus linearis","0","0","0","0","0","0","0","0","0"
"Trypanosoma","2485","25","4","98","8","250","1136","0","326"
"Varanus indicus","0","24","0","7","0","0","0","0","1"
"Caiman crocodilus","0","6","0","65","13","1","1","0","5"
"Cliona","46","0","6","20","91","79","123","0","0"
"Gelliodes","1","0","0","5","2","0","0","0","0"
"Mycale","70","46","3","14","38","4","1","0","0"
"Mycale parishii","1","1","0","1","0","0","0","0","0"
"Sigmadocia caerulea","0","0","1","3","2","0","0","0","0"
"Suberites","20","1","7","17","37","2","1","0","1"
"Cliona celata","29","0","1","10","17","5","5","0","0"
"Haliclona","125","58","8","57","209","7","2","0","0"
"Prosuberites","32","0","0","1","0","31","31","0","0"
"Macrobiotus hufelandi","6","0","4","5","0","0","0","0","0"
"Milnesium tardigradum","28","0","0","14","0","6","0","0","0"
"Didemnum","25","1","14","224","82","0","0","0","0"
"Polyandrocarpa zorritensis","2","0","1","6","1","0","0","0","0"
"Ascidia sydneiensis","1","0","1","4","0","0","0","0","0"
"Didemnum candidum","0","0","0","4","0","0","0","0","0"
"Phallusia nigra","10","0","1","1","0","0","0","0","0"
"Botrylloides diegensis","2","0","0","32","1","0","0","0","0"
"Botrylloides","18","0","3","138","37","0","0","0","1"
"Botryllus","18","1","7","555","15","0","0","0","0"
"Corella inflata","1","0","0","0","0","0","0","0","0"
"Corella willmeriana","0","0","0","0","0","0","0","0","0"
"Microcosmus squamiger","3","0","4","292","1","0","0","0","0"
"Styela canopus","1","0","1","9","142","0","0","0","0"
"Symplegma brakenhielmi","0","0","0","13","1","0","0","0","0"
"Sarotherodon melanotheron","0","5","0","34","13","0","0","0","3"
"Tilapia","0","20","20","42","1","0","0","0","18"
"Acanthogobius flavimanus","1","2","0","5","0","0","0","0","14"
"Cephalopholis argus","0","6","1","99","3","0","0","0","6"
"Lutjanus kasmira","0","3","0","199","4","0","0","0","3"
"Oreochromis aureus","4","4","0","76","23","1","2","0","6"
"Tridentiger trigonocephalus","0","3","0","22","1","0","0","0","17"
"Gonodactylaceus falcatus","1","1","2","4","71","0","0","0","0"
"Lutjanus fulvus","2","3","0","38","1","0","0","0","8"
"Zebrasoma velifer","0","3","0","22","4","0","0","0","3"
"Acanthurus maculiceps","0","0","0","1","0","0","0","0","3"
"Alosa aestivalis","0","6","0","25","2","0","0","0","5"
"Alosa pseudoharengus","0","11","0","35","4","0","0","0","10"
"Ameiurus catus","0","10","0","9","8","0","0","0","10"
"Anchoa lyolepis","0","3","0","1","1","0","0","0","1"
"Apeltes quadracus","0","5","1","16","1","0","0","0","3"
"Archoplites interruptus","0","1","0","3","0","0","0","0","0"
"Astronotus ocellatus","0","6","1","13","1","0","0","0","8"
"Balistes polylepis","0","4","0","4","21","0","0","0","3"
"Cichla ocellaris","0","4","0","0","3","0","0","0","5"
"Cichlasoma bimaculatum","0","3","0","2","0","0","0","0","0"
"Cittarium pica","4","129","0","108","1","0","0","0","2"
"Clarias batrachus","4","43","14","112","6","4","0","0","9"
"Enneacanthus gloriosus","0","1","0","25","0","0","0","0","0"
"Esox lucius","5","27","0","354","8","0","0","0","15"
"Esox niger","0","3","0","34","0","0","0","0","3"
"Fundulus diaphanus","0","4","0","36","1","0","0","0","3"
"Hemichromis letourneuxi","0","2","0","12","1","0","0","0","0"
"Heros severus","0","4","0","6","1","0","0","0","3"
"Hoplosternum littorale","0","10","0","17","4","0","0","0","12"
"Hypomesus nipponensis","0","20","0","19","6","12","0","0","11"
"Ictalurus punctatus","20","44","8","79","11","3","3","0","25"
"Lepomis humilis","0","3","0","16","0","0","0","0","1"
"Lepomis microlophus","0","2","0","15","0","0","0","0","0"
"Leuciscus idus","0","7","0","45","0","0","1","0","2"
"Limia vittata","0","1","0","39","0","0","0","0","1"
"Limnophila","0","0","0","367","0","1","1","4","0"
"Lucania parva","0","0","0","8","1","0","0","0","0"
"Misgurnus anguillicaudatus","3","23","0","62","51","0","0","0","65"
"Morone americana","1","11","0","32","1","0","0","0","10"
"Mylocheilus caurinus","0","10","1","15","1","0","0","0","3"
"Notropis buchanani","0","0","0","24","0","0","0","0","0"
"Noturus insignis","0","2","0","15","0","0","0","0","2"
"Oncorhynchus kisutch","122","72","3","173","4","1","3","0","12"
"Oncorhynchus mykiss irideus","0","0","0","0","0","0","0","0","0"
"Oncorhynchus nerka","14","36","2","97","3","1","5","0","32"
"Oncorhynchus tshawytscha","5","18","2","258","7","1","13","0","33"
"Oreochromis macrochir","0","6","0","2","1","0","0","0","2"
"Oreochromis niloticus","196","51","55","337","85","0","90","0","48"
"Orthodon microlepidotus","0","2","0","1","0","0","0","0","2"
"Osteoglossum bicirrhosum","3","5","0","4","10","0","0","0","8"
"Oxydoras niger","0","4","0","4","0","0","0","0","4"
"Parachromis managuensis","0","6","0","12","1","0","0","0","3"
"Petromyzon marinus","8","7","0","53","1","1","1","0","6"
"Phenacobius mirabilis","0","8","0","8","2","0","0","0","5"
"Piaractus brachypomus","0","6","1","52","3","0","0","0","5"
"Plecoglossus altivelis","1","11","1","2","6","1","0","0","19"
"Poecilia latipinna","2","2","0","20","2","0","0","0","4"
"Poecilia vivipara","0","0","0","38","0","0","0","0","0"
"Proterorhinus semilunaris","0","5","1","14","0","0","0","0","0"
"Pygocentrus nattereri","5","10","1","66","1","0","0","0","5"
"Salmo trutta x Salvelinus fontinalis","0","0","0","0","0","0","0","0","0"
"Sander lucioperca","6","9","0","66","4","0","0","0","10"
"Penaeus monodon-type Baculovirus","0","0","0","0","0","0","0","0","0"
"WSBV","0","0","0","0","0","0","0","0","0"
"Aeromonas salmonicida","0","16708","0","0","0","0","1","1","0"
"Novirhabdovirus sp.","0","0","0","0","0","0","0","0","0"
"Piscirickettsia salmonis","0","3924","0","0","0","0","0","0","0"
"Ranavirus sp.","0","0","0","0","0","0","0","0","0"
"Renibacterium salmoninarum","0","68","0","0","0","0","0","0","0"
"Rhabdovirus carpio","0","0","0","0","0","0","0","0","0"
